channel_id,video_id,comments
UCxUWIEL-USsiPak0Qy6_vVg,w8WvfYkNZ7o,"['Danke!', 'Syrien! ❤', '🎉🎉🎉', '💚💚💚💚💚']"
UCxUWIEL-USsiPak0Qy6_vVg,og3d9KEkVYA,"['Очень красиво!', 'Sehr Shön!', 'Nein.']"
UCxUWIEL-USsiPak0Qy6_vVg,cL0D9hbw9Ug,"['🔝', 'Danke, es war wirklich leicht und fast, total prächtig !', 'putin kaputt!']"
UCxUWIEL-USsiPak0Qy6_vVg,TcX3SNBIZ8c,[]
UCxUWIEL-USsiPak0Qy6_vVg,mKiBnMLF1Hw,"['Sehr interessant! Sie sind guten Strategien.', 'Super!']"
UCxUWIEL-USsiPak0Qy6_vVg,97_c2FJQJiI,['ich habe 85% wörter  verstehen']
UCxUWIEL-USsiPak0Qy6_vVg,irgZjEZ--QU,['Danke sehr']
UCxUWIEL-USsiPak0Qy6_vVg,u8uI-NPDSUQ,"['Vielen Dank, ganz gut !!!']"
UCxUWIEL-USsiPak0Qy6_vVg,3z9NHmmCpQM,"['Ich unterstütze Kanada in diesem Wirtschaftskrieg gegen die USA.', 'Ich lerne Deutsch mit ihrer Nachrichten, ich Danke Ihnen.', '❤❤❤❤1']"
UCxUWIEL-USsiPak0Qy6_vVg,gqLhbzc-oKA,"[""Bizda buni dushavo'y kabina deyishadi 😅"", 'Das Shampoo, die Haarspülung, die Seife, der Schwamm und das Handtuch fallen mir ein🛀🧼🧽', ""I don't even know what are these called in my mother tongue"", ""What's shower gel?"", 'Vielen Dank!\nNoch eine Ausflussöffnung.', 'DW einfach nur unterirdisch 😕']"
UCxUWIEL-USsiPak0Qy6_vVg,-Vk1ePJM_oo,"['Diese kurzen Nachrichten gefallen mir sehr, aber nur schlecht Nachrichten machen mich ein bisschen nervös.', 'Grüße aus Indianer-Land, das ist nett, video. Das ist nicht schlecht.', 'Grüße aus Kolumbien!! 🇨🇴🇨🇴 Danke für die Videos!']"
UCxUWIEL-USsiPak0Qy6_vVg,gl1kZkjqWn0,"['🎉🎉', 'Hallo! Was is EC-Karte?', 'Es fällt mir gerade nichts ein, was man anderes packen sollte!😮']"
UCxUWIEL-USsiPak0Qy6_vVg,il6yCF1um6Q,"['Es gibt eine Umschrift/Transkription😊', 'Danke, es war total Spass']"
UCxUWIEL-USsiPak0Qy6_vVg,fXecyGTGWJI,"['Das ist Shah Rukh Khan und seiner Frau bei Minute 2:47. Eine wahre Berühmtheit :)', 'Das ist meine persönliche Meinung: Viel Geld für eine Hochzeit auszugeben, ist wahnsinnig, da man nie sicher sein kann, ob die Ehe gelingt oder nicht. Oft nimmt man Kredite auf, und manchmal auch die Angehörigen, was später zu finanziellen Krisen führen kann. Es wäre besser, das Geld in etwas Vernünftiges zu investieren, wie z.B in eine Wohnung oder eine große Reise...']"
UCxUWIEL-USsiPak0Qy6_vVg,SkIxVCdtGac,['Ich lernen deutsche und heute Abend mit dem Duolingo und dw Danke für die helfen!']
UCxUWIEL-USsiPak0Qy6_vVg,v4t_mH7wD6I,"['Es ist kurz dann das ist einfach für sehen und verstehen.Vielen Danke🎉 Wenn meine texte sind falsch, es tut mir leid.', 'Danke, ihr sprecht in 1 Minute, was normalerweise in 20 Minuten gesagt wäre !', 'Ich freue mich sehr, dass die beiden Astronauten endlich zur Erde zurückkehren können. Ich bewundere sie sehr, denn trotz des Rückschlags, der sie daran gehindert hat, früher von der ISS zur Erde zurückzukehren, blieben sie professionell und geduldig. Jetz lohnt sich ihre Geduld.']"
UCxUWIEL-USsiPak0Qy6_vVg,bYf0wllAASQ,"['Ich lege immer die Schlüssel in meine Rucksack', 'Steckt von innen auf der abgeschlossenen Tür.', 'Immer in meine Handtasche. Ich mache das auch, wenn ich unterwegs bin. Wenn ich meine Schlüssel irgendwo anders lege,, dann wäre es so, als ob ich keinen Schlüssel hätte.', 'Oft hänge ich meinen Schlüsselbund an die Garderobe, aber manchmal lege ich ihn auf den Tisch und danach muss meine Mutter ihn wieder an die Garderobe hängen.', 'Ich lege die Schlüssel auf den Tisch', 'Schließe die Tür von innen ab und lass den Schlüssel stecken', 'Ich lege meinen Schlüssbund in Tasche, wo eine kleine Taschendieb hat. So es mich praktisch', 'Ich lege meinen Schlüsselbund auf den Tisch, auf dem mein Fernseher steht.']"
UCxUWIEL-USsiPak0Qy6_vVg,i98mDuLXQoY,"['Diesen andauernden Krieg in Ukraine macht mich sehr traurig. Leider glaube ich nicht, dass Trump die richtige Person ist, um diesen Krieg endgültig zu beenden.', 'Hallo Deutschwelle, ich schicke ihnen meinem besten herzlichen Dank für ihre Nachrichten vielen Grüße aus Spanien Murcia Juan']"
UCxUWIEL-USsiPak0Qy6_vVg,zfLHTsPhBO0,"['Vielen Dank für den Unterricht🤗\r\n  Vielleicht ist es für jemanden nützlich, es zu lesen 😊 https://youtube.com/playlist?list=PL5Rc7KUAgHz7BO2SN-Y_hTQkWycjXnv2S&si=O0Aqm1DN1p5-PUDH\r\n  Sei gesegnet🙏', 'Ab heute höre ich Nachrichten auf deutsch , und das ist mein erst video', 'Wie immer war hilfreich.']"
UCxUWIEL-USsiPak0Qy6_vVg,YvqPtl3BZsY,[]
UCxUWIEL-USsiPak0Qy6_vVg,z3m5L7KgytM,"['Danke! ❤\nAlles Chinesische ist von zweifelhafter Qualität!', 'Die Untertitel sind alle durcheinander, das muss man schnell berücksichtigen......']"
UCxUWIEL-USsiPak0Qy6_vVg,VH2Pt8OM-oc,"['Dank der Deutschen Welle hält uns ihr Reporterteam heute mit den relevantesten Nachrichten aus der Welt auf dem Laufenden.    Grüße aus Medellín.   KOLUMBIEN.', 'Danke,  diese Nachrichten haben mir sehr gern gefallen (um Deutsch kennenzulernen) !']"
UCxUWIEL-USsiPak0Qy6_vVg,_70eIG5lBU8,"['Wunderbar!', 'i thought noch ein meant another🤔', 'Gar nicht schwer 😂😂😂😂', '🔥', '❤❤❤❤❤lindo hombre', 'En español, por favor!', 'Danke!\nKreuzschlitzschraubendreher!... 😳🤯🤪']"
UCxUWIEL-USsiPak0Qy6_vVg,zfnOdnln8YE,"['Handelszölle sind schlecht für alle', 'Gut', 'Es war total leicht, schnell, und klar. Danke dafür !', 'Humanity needs to wake up to what is really happening, the mainstream media is selling you a perception of what is happening that will allow them to continue with little resistance.', 'Super', 'Jaa', 'Sehr gut ❤', '🎉']"
UCxUWIEL-USsiPak0Qy6_vVg,VLDTqD_Yz48,"['Danke ❤', 'danke schön, es war wunderbar gut !', 'Vielen Dank für die Videos! Sie sind sehr hilfreich! Liebegrusse aus Brasilien!']"
UCxUWIEL-USsiPak0Qy6_vVg,0dHqZZJPGGM,['Ich suche eine deutschfreundin für Deutsch lernen. Kann ich hier finden??']
UCxUWIEL-USsiPak0Qy6_vVg,VECHeZck334,"['Vielen dank aus Brasilien!', 'Danke', '❤❤❤ danke', 'Und womit misst man die Abstände?', 'Also den hammer benutze ich gleich mal das ruhe is', 'Einen Staubsauger vorhanden zu haben, wäre auch sehr nützlich.😊']"
UCxUWIEL-USsiPak0Qy6_vVg,tPTDDAXc0Q0,"['Vielen Dank für dieses Video, sehr hilfreich.', 'Danke', 'Thanks ❤', 'Thanks , totally excellent 😊', '❤❤❤❤']"
